MODEL NUMBER,PANEL NUMBER,DESCRIPTION,BOX WIDTH,SCORE A,SCORE B,SCORE C,SCORE D,SCORE E
41-2428-79BM,320238-133,"24"" x 60"" Rectangle  Sand Shoal / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2428-80GG,320238-128,"24"" x 60"" Rectangle  Sand Shoal / Gray Edge / Gray Leg / Gray Front Panel",58.5,14.875,0.75,15,1,3
41-2428-80GM,320238-134,"24"" x 60"" Rectangle  Sand Shoal / Gray Edge / Gray Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2428-22BM,320238-133,"24"" x 60"" Rectangle  Markerboard / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2428-22BB,320238-101,"24"" x 60"" Rectangle  Markerboard / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2428-23GM,320238-134,"24"" x 60"" Rectangle  Markerboard / Gray Edge / Gray Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2428-23GG,320238-128,"24"" x 60"" Rectangle  Markerboard / Gray Edge / Gray Leg / Gray Front Panel",58.5,14.875,0.75,15,1,3
41-2437-49BB,320238-101,"30"" x 60"" Rectangle  Solar Oak / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2437-49BM,320238-133,"30"" x 60"" Rectangle  Solar Oak / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2437-50BB,320238-101,"30"" x 60"" Rectangle  Fusion Maple / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2437-50BM,320238-133,"30"" x 60"" Rectangle  Fusion Maple / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2437-61GG,320238-128,"30"" x 60"" Rectangle  Fusion Maple / Gray Edge / Gray Leg / Gray Front Panel",58.5,14.875,0.75,15,1,3
41-2437-61GM,320238-134,"30"" x 60"" Rectangle  Fusion Maple / Gray Edge / Gray Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2437-60BB,320238-101,"30"" x 60"" Rectangle  Wild Cherry / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2437-60BM,320238-133,"30"" x 60"" Rectangle  Wild Cherry / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2437-77BB,320238-101,"30"" x 60"" Rectangle  Gray Nebula / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2437-77BM,320238-133,"30"" x 60"" Rectangle  Gray Nebula / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2437-78GG,320238-128,"30"" x 60"" Rectangle  Gray Nebula / Gray Edge / Gray Leg / Gray Front Panel",58.5,14.875,0.75,15,1,3
41-2437-78GM,320238-134,"30"" x 60"" Rectangle  Gray Nebula / Gray Edge / Gray Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2437-79BB,320238-101,"30"" x 60"" Rectangle  Sand Shoal / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2437-79BM,320238-133,"30"" x 60"" Rectangle  Sand Shoal / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2437-80GG,320238-128,"30"" x 60"" Rectangle  Sand Shoal / Gray Edge / Gray Leg / Gray Front Panel",58.5,14.875,0.75,15,1,3
41-2437-80GM,320238-134,"30"" x 60"" Rectangle  Sand Shoal / Gray Edge / Gray Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2437-22BM,320238-133,"30"" x 60"" Rectangle  Markerboard / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2437-22BB,320238-101,"30"" x 60"" Rectangle  Markerboard / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2437-23GM,320238-134,"30"" x 60"" Rectangle  Markerboard / Gray Edge / Gray Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2437-23GG,320238-128,"30"" x 60"" Rectangle  Markerboard / Gray Edge / Gray Leg / Gray Front Panel",58.5,14.875,0.75,15,1,3
